team;event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
3787;PNWAuburn;0.00;0.04;0.42;0.61;1.05;0.10;0.41;0.36;506.31;0.48;0.58;0.76;1.32;0.35;0.66;0.64;0.63;0.73;0.20;0.66;-0.06;0.35;0.03;-0.09;10.45;0.05;9.95;0.45;16.15;7.89;3.89;4.90;-0.54;0.94;1.32;27.91;2.57;37.62;38.65
3787;PNWDistrictChampionship;0.02;-0.08;0.63;0.50;0.78;0.14;0.19;0.45;;0.51;0.67;0.81;;0.43;0.66;;0.49;0.70;0.31;0.67;0.06;0.05;0.29;0.21;6.78;0.51;7.00;-0.73;15.71;9.60;3.77;3.42;-1.08;0.61;1.28;23.77;2.62;32.75;30.97
3787;PNWAuburnMountainview;0.00;0.06;-0.01;-0.08;-0.09;-0.01;0.25;0.53;;0.54;0.73;0.60;;0.71;0.66;;0.57;0.70;0.58;0.70;0.37;0.18;0.07;0.04;6.91;-0.14;6.41;0.65;15.42;12.21;-0.40;3.77;-0.16;0.74;1.08;23.41;3.08;30.85;28.03
3789;PNWCentralWashingtonUniversity;-0.01;0.10;0.23;-0.10;0.27;-0.04;0.21;0.46;0.28;0.84;0.31;0.67;;1.53;0.58;;0.38;0.40;1.17;0.46;0.05;-0.02;-0.04;-0.03;-0.35;0.31;-1.66;1.00;18.25;14.76;-0.02;4.81;-1.30;0.88;-0.22;17.68;2.79;25.49;20.78
3789;PNWWestValley;-0.01;0.00;0.10;-0.20;-0.09;0.00;0.03;0.73;0.32;-0.13;;0.62;0.01;0.60;0.79;0.55;0.22;0.58;0.08;0.60;0.03;0.04;-0.01;0.00;-0.91;0.08;-0.97;-0.03;10.80;11.51;-0.78;1.15;-1.08;0.16;0.17;10.06;2.21;15.29;10.68
3792;St.Louis;0.08;0.29;0.70;0.58;1.44;0.00;0.26;0.72;-0.55;0.14;0.87;0.67;0.01;0.53;0.72;0.20;0.07;0.76;0.32;0.57;0.12;0.11;0.22;-0.04;10.24;0.66;6.25;3.32;16.47;9.10;4.33;4.30;-1.27;0.78;0.36;27.07;2.45;37.68;32.21
3793;CHSCentralMaryland;0.03;0.00;1.40;0.41;1.84;0.03;0.13;0.34;-0.29;0.58;0.79;0.44;;0.29;0.54;0.67;0.52;0.59;-0.09;0.67;0.29;-0.08;0.00;0.01;7.13;1.02;5.95;0.17;16.29;7.13;4.82;4.66;-0.32;0.91;-0.35;23.07;2.02;33.87;26.23
3793;CHSDC;0.04;0.00;0.12;-0.10;0.09;-0.01;0.15;0.70;1.35;0.49;0.98;0.01;-0.19;0.63;0.25;;0.52;0.46;0.25;0.36;-0.25;0.02;-0.03;0.05;6.64;0.86;5.57;0.21;8.77;8.69;-0.28;0.35;0.00;0.07;0.34;15.75;2.30;21.79;18.46
3794;LasVegas;0.06;-0.04;0.16;-0.08;0.12;-0.01;0.22;0.54;;0.67;1.20;0.67;;0.15;0.47;0.67;0.58;0.67;0.38;0.47;0.24;0.35;-0.02;-0.11;8.08;-0.12;8.25;-0.06;14.11;9.07;-0.09;3.13;2.01;0.76;1.20;23.35;2.64;30.33;27.32
3794;MexicoCity;0.00;0.00;-0.21;-0.07;-0.46;0.00;0.02;0.73;-0.21;-0.28;-0.27;0.97;0.06;0.24;0.03;;0.02;0.69;-0.36;0.29;0.62;0.21;0.18;-0.04;4.86;1.46;3.39;0.00;8.66;5.21;-0.76;2.93;1.28;0.67;0.81;14.33;1.38;16.35;14.68
3796;NCWakeCounty;-0.01;-0.01;0.04;-0.20;-0.20;0.00;-0.22;0.43;0.04;0.07;-0.37;0.19;-0.35;0.00;0.21;;-0.06;-0.19;-0.16;0.23;0.13;0.27;0.03;0.00;3.03;1.50;1.61;-0.08;-2.52;0.49;-0.94;-1.91;-0.16;-0.39;1.35;1.85;0.26;1.86;-2.62
3799;FingerLakes;-0.06;0.16;1.24;-0.12;1.16;0.08;0.32;0.65;;0.21;0.91;0.64;;0.05;0.70;;0.43;0.57;0.01;0.65;0.36;-0.10;0.05;-0.12;10.94;0.09;9.54;1.30;10.48;6.84;1.85;4.96;-3.16;0.78;-1.08;20.34;2.32;29.78;28.82
3800;Hawaii;-0.02;0.17;0.38;-0.06;0.48;-0.05;0.10;0.40;0.42;0.57;0.13;0.07;-0.26;0.10;0.62;2.17;0.43;0.17;0.08;0.59;0.20;0.85;0.00;0.08;3.55;-0.04;1.95;1.64;7.73;7.42;0.47;0.60;-0.76;0.07;4.63;15.91;1.68;21.59;16.62
3802;HubCity;0.09;-0.23;4.97;0.34;5.23;0.24;0.44;0.77;;0.49;1.42;0.78;;0.20;1.18;1.15;0.49;0.85;0.25;0.87;-0.10;0.24;-0.05;0.02;7.92;-0.14;9.88;-1.81;29.45;11.20;11.67;6.84;-0.26;1.35;1.27;38.65;3.23;63.08;53.47
3802;Dallas;0.00;0.03;2.14;0.63;2.80;0.07;0.24;0.73;;0.09;0.79;1.03;;0.15;1.05;0.98;0.22;0.81;0.11;0.99;0.03;0.71;0.00;0.18;8.56;0.66;7.61;0.29;23.83;10.46;7.44;6.29;-0.36;1.23;4.42;36.81;2.85;52.71;43.38
3807;Colorado;-0.02;-0.04;-0.34;0.27;0.02;0.01;0.18;0.55;-1.21;-0.16;0.11;0.42;;0.14;0.62;0.64;-0.14;0.38;0.46;0.58;0.05;0.13;-0.16;-0.11;2.87;0.83;2.59;-0.54;9.35;7.82;0.67;3.36;-2.50;0.50;0.10;12.32;1.82;16.95;16.22
3812;PNWWilsonville;0.00;0.00;0.28;0.26;0.53;0.03;0.16;0.71;;0.00;0.62;0.32;0.42;0.79;0.34;-2.38;0.00;0.48;0.61;0.42;0.65;-0.32;0.01;0.09;6.00;0.09;5.90;0.01;11.77;8.11;1.85;2.27;-0.46;0.42;-1.14;16.62;2.21;23.80;20.47
3812;PNWPhilomath;0.00;0.00;-0.05;0.29;0.22;0.02;0.19;0.68;152.79;-0.25;0.45;0.72;;0.62;0.63;;-0.15;0.60;0.57;0.64;0.11;-0.25;0.02;-0.11;5.52;0.90;4.62;0.00;15.78;9.38;1.37;5.70;-0.67;1.10;-1.79;19.51;2.34;26.05;23.84
3814;RocketCity;0.00;-0.06;0.21;0.83;0.88;-0.11;-0.02;0.26;-0.21;-0.39;0.45;0.32;;0.77;0.55;;-0.44;0.42;0.64;0.54;0.39;0.03;0.10;-0.08;1.08;0.72;0.94;-0.58;15.21;6.60;4.56;-0.93;4.97;0.15;-0.27;16.02;1.41;22.32;12.96
3814;QueenCity;-0.07;-0.09;0.81;0.07;0.63;0.13;0.19;0.61;;0.25;0.72;0.09;;0.24;0.46;-8188061568836060.00;0.56;0.48;0.22;0.55;0.01;-0.15;0.08;0.10;3.18;1.46;3.02;-1.30;20.59;10.64;1.98;0.81;7.17;0.64;-0.24;23.53;2.43;31.57;30.62
3815;PCHColumbus;0.00;0.00;-0.30;-0.02;-0.30;0.00;-0.01;0.52;;0.10;0.43;0.22;0.06;0.45;0.12;;-0.04;0.24;0.30;0.15;0.04;0.27;-0.02;-0.02;1.87;1.31;0.56;0.01;3.41;5.58;-0.69;-1.48;0.00;-0.30;1.26;6.54;1.17;8.53;6.38
3821;QueenCity;0.00;0.14;0.24;-0.26;0.07;-0.12;-0.08;0.53;;-0.04;0.25;0.82;;0.31;0.35;37.59;0.13;0.43;0.28;0.40;0.52;0.18;0.04;-0.02;3.38;0.43;1.59;1.36;8.26;8.08;-0.84;1.11;-0.09;0.22;0.80;12.43;1.77;17.08;7.75
3822;NCCampbellUniversity;-0.03;-0.03;0.15;0.13;0.10;-0.07;0.23;0.70;0.30;-0.13;0.70;0.67;0.38;0.26;0.36;;0.09;0.66;0.44;0.42;0.41;-0.18;0.13;0.13;6.48;0.62;6.33;-0.47;10.00;8.35;0.97;1.45;-0.77;0.24;-0.24;16.24;2.30;22.30;18.87
3822;NCGuilfordCounty;-0.05;0.07;-0.03;-0.07;-0.03;0.00;0.12;0.77;1.11;0.23;0.49;0.38;-0.19;-0.46;0.51;-0.44;0.53;0.52;-0.22;0.22;0.25;0.18;-0.05;-0.05;0.76;1.61;-1.27;0.42;10.88;9.74;-0.40;0.67;0.87;0.19;0.62;12.26;1.82;16.72;14.66
3824;SmokyMountains;0.00;0.66;0.76;4.43;5.91;0.45;0.37;0.75;;0.99;0.42;0.74;0.39;-0.25;0.61;1074275974050400.00;0.89;0.60;0.04;0.71;-0.04;0.00;-0.06;-0.07;14.38;0.39;7.39;6.60;41.72;11.23;23.68;5.99;0.82;1.25;-0.37;55.73;2.98;81.67;74.28
3824;Palmetto;0.00;0.24;0.23;1.80;1.93;0.00;0.53;0.78;1.25;1.72;0.31;;3.19;0.13;1.08;1.13;1.19;0.52;0.34;0.87;-0.11;-0.12;0.35;0.05;7.98;0.06;5.49;2.44;30.74;15.82;9.48;3.32;2.11;0.81;-0.36;38.37;3.71;53.70;48.89
3826;PNWMountVernon;0.00;-0.04;2.15;0.92;3.02;0.05;0.53;0.69;;0.61;0.73;0.74;;0.08;0.85;0.67;0.76;0.79;0.15;0.78;-0.09;-0.06;0.01;0.01;12.75;-0.31;13.47;-0.41;23.03;9.11;8.92;5.01;0.00;1.00;-0.23;35.56;3.17;52.93;47.36
3826;PNWGlacierPeak;0.00;0.07;1.22;0.66;1.83;0.00;0.39;0.67;;1.24;0.55;0.83;;0.26;0.65;0.75;0.85;0.73;0.35;0.63;-0.28;0.20;0.12;-0.06;7.44;0.06;6.70;0.67;22.98;12.81;5.74;4.88;-0.44;0.95;0.70;31.12;3.23;44.90;38.74
3826;PNWDistrictChampionship;-0.02;0.10;-0.12;1.49;1.48;-0.09;0.30;0.71;;0.73;0.67;0.62;;0.35;0.66;;0.70;0.68;0.46;0.66;0.12;0.21;-0.04;0.07;11.16;-0.48;10.74;0.90;23.22;10.70;7.19;3.78;1.54;0.86;1.37;35.75;3.22;48.41;39.60
3834;LoneStar;0.00;0.00;-0.43;0.10;-0.47;-0.02;-0.06;0.42;;0.01;;0.70;;-0.12;-0.13;51778946123265000.00;-0.03;0.68;0.18;0.24;0.87;0.31;0.14;0.26;1.38;1.01;0.36;0.01;7.17;7.26;-0.38;-0.57;0.87;-0.06;2.87;11.42;1.49;13.67;9.62
3835;Israel;0.00;-0.10;-0.03;0.11;0.08;0.00;-0.08;0.35;;0.07;0.88;0.55;0.40;1.32;0.40;;0.18;0.50;0.44;0.45;0.53;0.27;-0.10;0.13;0.20;0.67;0.58;-1.04;7.73;9.24;0.49;-0.16;-1.84;-0.15;1.96;9.89;1.90;14.90;8.35
3838;FingerLakes;0.01;0.05;0.58;-0.06;0.56;0.06;0.07;0.66;;0.11;1.27;0.32;;0.44;0.55;;0.25;0.45;0.63;0.40;-0.02;-0.01;0.02;0.12;4.80;0.86;3.42;0.53;14.05;10.19;0.87;3.32;-0.33;0.64;0.55;19.40;2.38;27.11;22.39
3839;Minnesota10000Lakes;0.01;-0.12;0.61;-0.42;0.12;-0.02;0.14;0.75;;-0.12;1.09;0.86;;0.02;0.50;342.91;0.30;0.83;0.09;0.48;0.80;-0.33;-0.03;-0.04;4.93;0.12;5.90;-1.09;10.07;9.27;-0.89;2.52;-0.82;0.45;-1.81;13.18;2.44;19.66;15.46
3840;LakeSuperior;-0.02;-0.08;-0.05;-0.26;-0.37;-0.03;0.07;0.67;;1.06;0.25;;;0.09;0.72;;0.73;0.20;0.20;0.66;-0.05;-0.27;-0.04;-0.16;5.45;0.35;5.99;-0.89;10.34;9.26;-1.40;3.18;-0.69;0.59;-2.17;13.63;2.45;18.60;14.09
3843;SmokyMountains;0.00;0.06;-0.55;-0.48;-1.01;-0.15;0.33;0.50;;0.48;0.62;0.85;1.44;0.39;0.45;7.38;0.05;0.72;0.24;0.52;0.07;-0.04;0.04;-0.02;1.81;0.50;0.70;0.61;6.77;9.83;-3.51;0.00;0.46;0.03;-0.27;8.31;2.04;10.24;10.98
3844;SmokyMountains;0.00;0.01;2.42;1.48;3.97;0.30;0.37;0.67;;0.95;0.70;0.59;0.35;-0.31;0.74;-50889378162334600.00;0.78;0.59;-0.18;0.78;-0.32;-0.36;-0.06;0.07;9.22;0.73;8.36;0.13;27.43;8.99;12.24;5.99;0.20;1.21;-1.47;35.18;2.63;54.16;50.05
3845;NCGuilfordCounty;-0.06;0.06;0.72;-0.10;0.64;0.00;0.33;0.79;-0.02;0.45;0.37;0.60;0.27;0.35;0.08;0.89;0.61;0.63;0.30;0.44;-0.08;0.03;-0.04;-0.06;1.75;-0.12;1.60;0.27;20.01;13.03;0.91;5.20;0.87;1.10;-0.14;21.62;2.77;30.54;28.22
3845;NCUNCAsheville;0.14;0.00;-0.25;-0.11;-0.26;-0.03;0.27;0.75;-1.80;0.28;0.80;0.71;;0.74;0.61;0.34;0.04;0.69;0.88;0.50;0.11;-0.19;0.04;0.00;1.84;-0.10;1.25;0.70;17.59;13.67;-1.06;4.38;0.59;0.92;-0.97;18.46;2.86;24.80;23.17
3847;LoneStar;0.00;0.04;3.79;0.34;3.70;0.28;0.08;0.18;;0.82;;0.81;;-0.30;1.01;259483206370837000.00;0.84;0.50;-0.20;0.88;-0.24;0.12;0.45;0.11;7.28;0.52;6.41;0.35;25.05;7.79;9.26;0.48;7.53;0.60;1.14;33.48;2.20;50.55;42.07
3847;Bayou;-0.01;-0.02;0.70;0.25;0.61;-0.04;0.37;0.61;;1.13;1.12;1.01;;-0.81;0.98;-0.90;1.10;0.93;-0.45;0.96;0.38;0.65;0.32;-0.03;8.69;0.01;8.92;-0.24;14.83;11.27;2.67;1.31;-0.43;0.23;3.12;26.64;3.15;36.41;33.07
3848;MinnesotaNorthStar;0.00;-0.11;-0.90;1.07;0.04;0.07;0.18;0.78;;0.13;0.43;0.12;;1.68;0.82;;0.12;0.70;1.52;0.79;0.60;-0.08;0.03;0.19;6.74;0.37;7.48;-1.10;23.17;15.80;3.57;4.73;-0.93;0.88;0.51;30.42;3.91;40.31;35.73
3853;ArizonaWest;0.00;-0.01;2.82;0.08;2.92;0.18;-0.02;0.63;;0.57;-0.15;0.52;;-0.06;0.54;1.02;0.49;0.20;0.04;0.51;0.44;0.17;-0.03;-0.07;5.18;0.62;4.68;-0.12;19.03;6.99;6.05;3.70;2.29;0.89;0.47;24.55;1.87;38.34;28.57
3859;Sacramento;0.00;0.12;-0.19;1.36;1.20;0.07;0.02;0.55;;0.60;0.88;;-32.53;0.44;0.41;2029790427563220.00;0.14;0.90;0.29;0.46;0.85;0.12;0.09;-0.05;7.47;0.42;5.83;1.22;16.35;8.77;6.43;1.41;-0.26;0.26;0.35;24.16;2.34;33.75;26.30
3859;CentralValley;0.00;0.11;1.12;-0.35;0.85;-0.04;0.56;0.90;;0.34;0.92;0.68;1.53;0.31;0.62;;0.47;0.66;0.51;0.59;-0.06;0.10;0.02;0.12;7.22;0.12;6.01;1.09;14.93;12.60;0.47;2.69;-0.83;0.48;1.08;23.23;3.12;33.69;33.33
3861;RocketCity;0.00;0.01;0.28;0.12;0.50;-0.01;0.31;0.66;0.39;0.13;1.09;0.59;;0.25;0.84;;0.24;0.89;0.33;0.80;-0.09;-0.25;-0.08;0.16;4.97;0.23;4.63;0.11;18.51;12.32;1.18;2.48;2.53;0.67;-0.44;23.04;2.93;31.92;28.91
3863;LosAngeles;0.00;-0.10;1.17;-0.31;0.81;-0.02;0.38;0.57;2.71;-0.35;1.63;0.78;1.17;0.52;0.34;;0.29;0.88;0.35;0.43;0.35;0.11;-0.05;0.11;1.50;0.79;1.75;-1.03;17.97;11.76;0.79;1.65;3.77;0.58;1.10;20.58;2.53;29.42;27.55
3863;Ventura;0.05;-0.01;0.41;0.16;0.60;-0.05;0.23;0.67;0.68;0.23;0.98;0.61;;0.39;0.47;0.57;0.39;0.73;0.27;0.51;0.12;-0.20;0.00;-0.07;8.73;-0.08;8.72;0.09;20.61;8.53;1.63;0.74;9.72;0.80;-1.34;28.00;2.58;36.32;31.22
3865;INTippecanoe;0.00;-0.03;0.46;0.12;0.54;-0.08;0.11;0.75;;0.39;0.44;-0.59;;0.34;0.41;0.50;0.38;0.36;0.23;0.54;0.66;-0.08;0.00;-0.02;6.87;-0.10;7.32;-0.34;10.99;7.63;1.50;1.49;0.36;0.32;-0.51;17.35;2.26;24.69;17.48
3865;INWalkerWarren;0.00;0.00;-0.28;0.05;-0.33;-0.10;0.32;0.70;;0.71;0.67;0.95;1.17;0.53;0.41;0.15;0.51;0.80;0.64;0.29;0.58;0.20;0.11;0.06;5.78;0.90;4.86;0.03;16.63;12.29;-0.29;4.02;0.61;0.84;1.26;23.68;2.94;29.99;27.40
3868;St.Louis;-0.01;0.09;0.32;-0.17;0.16;0.00;-0.24;0.06;0.00;-0.15;0.52;-0.18;0.30;0.06;-0.28;0.53;-0.31;0.11;-0.04;0.19;0.09;-0.08;0.08;-0.06;-2.55;1.87;-5.31;0.89;5.47;2.68;-0.19;1.90;1.09;0.45;-0.71;2.21;0.00;2.71;-2.62
3871;MinnesotaNorthStar;0.00;0.05;0.62;-0.40;0.24;0.00;-0.09;0.66;;0.09;1.47;0.23;;0.53;0.38;;0.24;0.50;0.13;0.32;0.57;-0.16;0.02;0.02;3.16;-0.05;2.74;0.47;8.16;7.91;-0.78;0.10;0.94;0.08;-0.69;10.63;1.86;16.04;8.81
3872;CHDistrictChampionship;-0.01;0.12;1.98;0.50;2.46;0.13;0.37;0.66;;0.24;0.65;0.68;;1.11;0.58;;0.34;0.70;1.18;0.58;-0.05;0.04;0.14;0.04;9.40;0.21;8.06;1.13;23.74;13.28;6.47;5.00;-1.02;0.93;0.43;33.56;3.46;49.89;44.29
3872;CHSNorthernVirginia;0.09;0.00;1.36;0.28;1.77;0.00;0.19;0.78;0.79;0.22;0.61;0.26;-0.41;0.21;0.27;0.41;0.34;0.46;0.09;0.45;-0.04;0.03;-0.04;0.03;4.72;1.47;2.82;0.43;14.83;9.17;4.12;1.27;0.27;0.27;0.31;19.86;2.12;30.68;23.59
3872;CHSSouthwestVirginia;0.00;0.03;1.04;0.44;1.40;0.00;0.56;0.74;2.38;0.44;0.79;1.05;;0.86;0.69;-0.17;0.50;0.80;0.75;0.76;0.40;0.48;0.11;0.20;8.80;0.28;8.18;0.33;23.92;13.67;4.28;6.09;-0.12;1.21;3.42;36.13;3.55;49.39;47.14
3875;MIWoodhaven;-0.02;-0.05;3.25;0.00;3.27;0.21;0.39;0.57;1.72;1.36;0.93;0.98;-0.24;0.56;0.79;0.69;1.09;0.84;-0.03;0.65;-0.10;0.76;-0.08;-0.02;9.20;0.09;9.71;-0.60;19.54;10.72;6.52;2.48;-0.17;0.48;3.69;32.43;3.11;50.42;45.44
3875;MIEastKentwood;-0.03;-0.03;1.84;-0.03;1.49;0.01;0.26;0.69;;0.54;0.54;0.78;;0.46;0.52;0.36;0.30;0.65;0.28;0.56;0.02;0.28;0.27;0.32;9.33;-0.18;9.93;-0.41;13.21;7.40;3.52;2.78;-0.49;0.52;3.01;25.55;2.47;36.38;30.97
3875;MISt.Joseph;-0.02;0.00;0.70;-0.01;0.52;0.04;0.42;0.68;-2.09;0.27;0.82;0.89;;1.09;0.59;0.58;0.18;0.88;0.91;0.66;0.52;0.12;0.15;0.20;9.57;-0.27;9.91;-0.07;17.66;11.59;1.36;4.28;0.43;0.88;1.61;28.84;3.31;38.75;38.18
3876;PNWCentralWashingtonUniversity;0.00;0.02;0.54;-0.18;0.41;-0.01;-0.10;0.49;-0.05;0.09;0.65;0.10;;-0.06;0.46;;0.09;0.37;-0.10;0.47;0.34;-0.14;-0.03;-0.03;-0.23;0.43;-0.87;0.21;5.94;6.88;0.16;0.46;-1.56;-0.01;-0.83;4.88;1.29;9.38;2.69
3876;PNWWestValley;-0.01;0.00;0.18;0.11;0.30;0.00;0.03;0.58;-0.16;0.32;;0.09;0.02;0.12;-0.16;0.63;-0.04;0.08;0.05;0.18;0.53;-0.08;-0.01;-0.02;-0.35;0.29;-0.62;-0.03;6.24;4.52;0.94;1.06;-0.27;0.19;-0.47;5.42;0.84;8.46;6.07
3878;Hawaii;0.00;-0.09;0.13;0.11;0.18;0.08;0.27;0.63;0.04;0.48;0.94;0.49;0.08;0.02;0.81;3.72;0.43;0.81;0.02;0.74;0.61;-0.14;-0.02;-0.02;0.25;0.97;0.17;-0.89;17.68;13.10;0.84;3.42;0.32;0.70;-0.79;17.13;2.64;24.28;24.69
3880;Hawaii;0.00;-0.11;3.45;0.01;3.35;0.06;0.40;0.89;0.63;0.29;0.69;0.92;0.96;0.67;0.93;-1.44;0.57;0.88;0.59;0.81;0.24;1.05;-0.01;-0.02;10.20;-0.11;11.47;-1.16;23.09;12.93;6.94;3.52;-0.30;0.68;5.15;38.43;3.73;58.23;47.80
3880;Orlando;0.01;0.00;2.48;0.00;2.57;0.07;0.33;0.80;;0.43;0.51;0.71;;0.64;0.57;;0.44;0.72;0.80;0.58;0.07;0.35;-0.06;0.01;8.62;-0.46;8.98;0.11;20.13;12.15;4.98;2.55;0.46;0.54;1.79;30.55;3.33;46.88;38.94
3882;SanDiego;0.00;0.41;-0.80;2.93;2.51;-0.01;0.16;0.18;0.41;-0.28;0.31;0.29;0.00;0.10;0.58;1.07;0.15;0.38;0.26;0.59;0.24;-0.24;0.04;0.09;4.75;0.24;0.35;4.15;24.49;7.59;13.08;2.40;1.43;0.57;-0.71;28.53;1.55;40.27;25.31
3882;Hawaii;0.00;0.49;-0.42;1.95;2.02;0.06;-0.06;0.61;-0.23;-0.06;0.97;-0.29;0.04;0.04;0.53;-0.22;-0.17;0.40;0.16;0.50;0.11;-0.01;0.00;0.00;5.09;-0.29;0.47;4.92;20.88;7.24;8.91;3.24;1.49;0.75;-0.05;25.92;1.49;35.98;26.36
3883;MinnesotaNorthStar;0.00;-0.04;-0.20;2.44;2.12;0.03;0.27;0.74;;0.36;2.15;1.22;;-0.11;0.84;;0.62;0.88;0.05;0.74;0.08;-0.19;0.08;-0.04;8.85;-0.28;9.53;-0.40;27.22;10.35;11.80;5.77;-0.71;1.11;-1.14;34.93;3.02;49.10;41.17
3883;Iowa;0.00;-0.11;-0.36;1.16;0.69;-0.07;0.16;0.67;;1.02;0.91;0.59;;0.02;0.71;1.26;0.40;0.69;0.06;0.69;0.54;0.07;0.00;-0.13;5.87;0.57;6.41;-1.12;18.45;9.30;5.06;4.44;-0.35;0.86;-0.30;24.02;2.50;32.42;25.29
3886;MIStateChampionship;0.06;-0.05;1.36;-0.42;1.03;0.09;0.35;0.69;;0.73;0.64;0.69;;0.74;0.65;0.10;0.70;0.66;0.60;0.66;-0.07;-0.11;-0.07;0.21;6.45;0.68;5.93;-0.17;17.78;13.60;0.64;3.98;-0.44;0.77;0.51;24.74;3.31;36.26;34.09
3886;MITraverseCity;0.00;-0.03;-0.36;0.36;-0.06;-0.03;0.35;0.69;1.00;0.75;0.38;0.39;0.26;0.53;0.50;;0.83;0.42;0.64;0.48;0.19;0.00;0.03;-0.06;6.60;0.77;6.15;-0.32;17.41;12.21;1.09;4.58;-0.47;0.89;-0.28;23.71;3.06;31.16;30.04
3886;MIEscanaba;0.00;0.00;-0.35;0.20;-0.14;-0.03;0.46;0.73;1.31;-0.28;0.85;0.65;0.41;0.27;0.89;0.60;0.54;0.80;0.45;0.86;-0.04;-0.07;-0.02;0.12;7.50;0.55;6.95;0.00;18.83;13.37;0.29;4.17;1.00;0.90;0.25;26.58;3.37;34.58;35.06
3925;Ventura;-0.02;0.04;0.42;0.68;0.94;0.05;0.33;0.70;1.21;0.92;0.89;0.58;;-0.08;0.54;1.57;0.91;0.52;-0.06;0.62;0.13;0.10;0.19;-0.08;5.96;0.39;5.22;0.34;18.55;10.82;4.26;3.45;0.02;0.69;0.10;24.61;2.69;34.26;32.41
3925;CentralValley;0.00;0.07;0.99;-0.34;0.84;0.09;0.31;0.56;;0.92;0.72;0.27;-0.31;-0.25;0.56;;1.00;0.33;-0.10;0.42;0.44;-0.19;-0.12;-0.06;3.73;-0.06;3.10;0.69;13.90;9.48;0.27;3.78;0.38;0.78;-1.23;16.40;2.21;24.53;24.83
3926;MinnesotaNorthStar;0.00;-0.06;0.31;-0.31;0.03;-0.11;0.44;0.75;;0.93;-0.06;1.04;;0.71;0.61;;0.91;0.48;0.95;0.66;-0.02;0.69;-0.09;0.02;8.37;0.54;8.41;-0.58;20.35;14.57;-0.95;3.05;3.68;0.86;3.51;32.24;3.76;41.71;38.13
3928;MinnesotaNorthStar;0.00;0.49;1.57;2.09;4.22;0.27;0.11;0.68;;0.76;0.93;0.18;;-0.02;0.08;;0.52;0.46;-0.03;0.22;0.00;-0.06;-0.07;-0.02;12.24;0.91;6.48;4.86;23.11;6.06;13.58;3.77;-0.30;0.73;-0.41;34.95;1.86;52.77;43.97
3928;Iowa;0.05;0.08;2.59;0.25;3.04;0.23;0.35;0.68;;0.54;0.17;0.78;;-0.03;0.70;0.43;0.78;0.57;0.00;0.68;-0.15;-0.03;-0.07;0.04;4.06;1.81;1.22;1.02;25.53;12.94;6.42;5.19;0.98;1.10;0.05;29.64;2.71;45.91;42.44
3929;MARWesttown;0.00;-0.02;-0.24;0.89;0.70;0.02;0.30;0.72;9.33;0.48;0.68;0.72;;0.51;0.72;;0.55;0.70;0.09;0.70;-0.13;0.25;-0.07;-0.08;8.54;0.18;8.59;-0.23;15.79;9.48;3.97;3.89;-1.55;0.68;0.85;25.19;2.75;34.26;31.76
3929;MARSpringsideChestnutHill;0.00;-0.04;0.29;-0.27;0.06;-0.05;0.10;0.65;;0.35;0.60;0.75;0.21;0.17;0.67;0.67;0.19;0.72;0.17;0.68;0.59;0.32;-0.08;0.08;8.64;-0.01;9.01;-0.35;9.64;7.53;-0.78;3.97;-1.08;0.72;2.00;20.28;2.41;26.49;20.99
3930;NENorthShore;0.00;-0.01;4.18;-0.16;3.96;0.15;0.42;0.64;;0.59;;0.53;0.60;0.27;0.69;0.35;0.69;0.72;0.19;0.69;0.39;0.49;0.06;-0.09;8.91;-0.38;9.40;-0.11;23.41;9.90;7.58;5.13;0.80;1.08;1.99;34.32;2.92;53.99;46.44
3930;NEPineTree;0.00;0.11;3.57;-0.11;3.50;0.08;0.31;0.71;1.81;0.75;1.62;0.73;;-0.19;0.87;1.12;0.78;0.70;-0.18;0.84;-0.05;-0.01;0.07;0.03;10.78;0.13;9.55;1.11;20.69;9.45;6.59;4.51;0.14;0.91;0.09;31.56;2.84;49.62;39.66
3931;Oklahoma;0.00;0.03;3.97;-0.07;3.94;-0.02;0.65;1.03;;0.66;1.06;0.39;-0.84;0.13;1.30;1.24;0.84;0.90;-0.18;0.92;0.50;0.23;0.00;-0.02;12.59;0.03;12.26;0.30;25.13;11.46;7.62;6.35;-0.30;1.25;1.06;38.78;3.52;59.90;51.29
3931;ArkansasRockCity;0.12;-0.12;2.00;-0.21;1.77;-0.01;0.59;0.87;-0.26;1.77;1.11;-0.09;;0.30;0.49;-3.02;1.32;0.70;0.02;0.80;0.13;0.29;0.03;0.04;7.38;0.22;7.70;-0.54;21.59;15.59;2.97;5.62;-2.58;0.95;1.66;30.63;3.89;45.89;42.21
